"";"Revenue";"Other Revenue, Total";"Total Revenue";"Cost of Revenue, Total";"Gross Profit";"Selling/General/Admin. Expenses, Total";"Research & Development";"Depreciation/Amortization";"Interest Expense(Income) - Net Operating";"Unusual Expense (Income)";"Other Operating Expenses, Total";"Total Operating Expense";"Operating Income";"Interest Income(Expense), Net Non-Operating";"Gain (Loss) on Sale of Assets";"Other, Net";"Income Before Tax";"Income After Tax";"Minority Interest";"Equity In Affiliates";"Net Income Before Extra. Items";"Accounting Change";"Discontinued Operations";"Extraordinary Item";"Net Income";"Preferred Dividends";"Income Available to Common Excl. Extra Items";"Income Available to Common Incl. Extra Items";"Basic Weighted Average Shares";"Basic EPS Excluding Extraordinary Items";"Basic EPS Including Extraordinary Items";"Dilution Adjustment";"Diluted Weighted Average Shares";"Diluted EPS Excluding Extraordinary Items";"Diluted EPS Including Extraordinary Items";"Dividends per Share - Common Stock Primary Issue";"Gross Dividends - Common Stock";"Net Income after Stock Based Comp. Expense";"Basic EPS after Stock Based Comp. Expense";"Diluted EPS after Stock Based Comp. Expense";"Depreciation, Supplemental";"Total Special Items";"Normalized Income Before Taxes";"Effect of Special Items on Income Taxes";"Income Taxes Ex. Impact of Special Items";"Normalized Income After Taxes";"Normalized Income Avail to Common";"Basic Normalized EPS";"Diluted Normalized EPS";"EndPeriod";"StartPeriod";"Company";"YearAvgPrice";"YearAvgPrice1QAfterStartPeriod";"YearAvgPrice2QAfterStartPeriod";"YearAvgPrice3QAfterStartPeriod";"YearAvgPrice4QAfterStartPeriod"
"2015-09-26";233715;NA;233715;140089;93626;14329;8067;NA;NA;NA;NA;162485;71230;NA;NA;-903;72515;53394;NA;NA;53394;NA;NA;NA;53394;NA;53394;53394;NA;NA;NA;NA;5793,07;9,22;NA;1,98;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9,22;2015-09-26;2014-09-28;"AAPL";2,62043824701195;2,61235059760956;2,53584;2,45824701195219;2,41746113989637
"2014-09-27";182795;NA;182795;112258;70537;11993;6041;NA;NA;NA;NA;130292;52503;NA;NA;-311;53483;39510;NA;NA;39510;NA;NA;NA;39510;NA;39510;39510;NA;NA;NA;0;6122,66;6,45;NA;1,82;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,45;2014-09-27;2013-09-29;"AAPL";3,77191235059761;3,43486055776892;2,93860557768924;2,72717131474104;2,62043824701195
"2013-09-28";170910;NA;170910;106606;64304;10830;4475;NA;NA;NA;NA;121911;48999;NA;NA;-24;50155;37037;NA;NA;37037;NA;NA;NA;37037;NA;37037;37037;NA;NA;NA;0;6521,5;5,68;NA;1,63;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5,68;2013-09-28;2012-09-30;"AAPL";2,94293172690763;3,31139442231076;3,68829365079365;3,80749003984064;3,77191235059761
"2012-09-29";156508;NA;156508;87846;68662;10040;3381;NA;NA;NA;NA;101267;55241;NA;NA;-566;55763;41733;NA;NA;41733;NA;NA;NA;41733;NA;41733;41733;NA;NA;NA;NA;6617,48;6,31;NA;0,38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,31;2012-09-29;NA;"AAPL";NA;NA;NA;NA;NA
"2015-12-31";0;NA;0;NA;NA;0,39;NA;NA;NA;0;NA;0,39;-0,39;NA;NA;NA;-0,34;-0,34;NA;NA;-0,34;NA;NA;NA;-0,34;NA;-0,34;-0,34;NA;NA;NA;0;1,85;-0,18;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,18;2015-12-31;2015-01-01;"TFSCU";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-31";0;NA;0;NA;NA;0,2;NA;NA;NA;0;NA;0,2;-0,2;NA;NA;NA;-0,19;-0,19;NA;NA;-0,19;NA;NA;NA;-0,19;NA;-0,19;-0,19;NA;NA;NA;0;1,58;-0,12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,12;2014-12-31;NA;"TFSCU";NA;NA;NA;NA;NA
"2015-12-311";NA;NA;27,13;NA;NA;7,25;NA;NA;NA;NA;5,7;29,47;-2,34;NA;NA;NA;-2,34;-1,67;NA;NA;-1,67;NA;NA;NA;-1,67;NA;-1,67;-1,67;NA;NA;NA;NA;6,29;-0,27;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,27;2015-12-31;2015-01-01;"PIH";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-311";NA;NA;18,96;NA;NA;5,09;NA;NA;NA;NA;NA;13,24;5,73;NA;NA;NA;5,73;3,65;NA;NA;3,65;NA;NA;NA;3,65;NA;3,15;3,15;NA;NA;NA;NA;4,45;0,71;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,71;2014-12-31;2014-01-01;"PIH";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-31";NA;NA;5,04;NA;NA;1,81;NA;NA;NA;NA;0,07;6,24;-1,19;NA;NA;NA;-1,14;-0,75;NA;NA;-0,75;NA;NA;NA;-0,75;NA;-0,75;-0,75;NA;NA;NA;0;3,55;-0,21;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,21;2013-12-31;2013-01-01;"PIH";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-31";NA;NA;0,35;NA;NA;0,47;NA;NA;NA;NA;NA;0,54;-0,2;NA;NA;NA;-0,18;-0,12;NA;NA;-0,12;NA;NA;NA;-0,12;NA;-0,12;-0,12;NA;NA;NA;0;3,55;-0,03;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,03;2012-12-31;NA;"PIH";NA;NA;NA;NA;NA
"2015-06-28";1121,51;NA;1121,51;634,31;487,19;385,71;34,74;29,12;NA;NA;NA;1083,89;37,62;NA;NA;NA;30,31;19,38;0,9;NA;20,29;NA;NA;NA;20,29;NA;20,29;20,29;NA;NA;NA;NA;67,6;0,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,3;2015-06-28;2014-06-30;"FLWS";2,72717131474104;2,62043824701195;2,61235059760956;2,53344;2,45769841269841
"2014-06-29";756,35;NA;756,35;440,67;315,67;249,6;22,52;19,85;NA;NA;NA;732,64;23,71;NA;NA;NA;22,35;13,95;0,7;NA;14,64;NA;NA;NA;15,37;NA;14,64;15,37;NA;NA;NA;0;66,46;0,22;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,22;2014-06-29;2013-07-01;"FLWS";3,80749003984064;3,77191235059761;3,43486055776892;2,93254980079681;2,72777777777778
"2013-06-30";735,5;NA;735,5;430,31;305,19;238,91;21,7;18,8;NA;0;NA;709,71;25,79;NA;NA;NA;24,8;15,72;NA;NA;15,72;NA;NA;NA;12,32;NA;15,72;12,32;NA;NA;NA;NA;66,79;0,24;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,24;2013-06-30;2012-07-02;"FLWS";3,04068273092369;2,94293172690763;3,31139442231076;3,69281746031746;3,80511904761905
"2012-07-01";707,52;NA;707,52;414,94;292,58;232,67;20,43;19,54;NA;-3,79;NA;683,79;23,73;NA;NA;NA;21,09;13,32;NA;NA;13,32;NA;NA;NA;17,65;NA;13,32;17,65;NA;NA;NA;NA;66,24;0,2;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,16;2012-07-01;NA;"FLWS";NA;NA;NA;NA;NA
"2015-12-312";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,5;2,55;NA;NA;2,55;NA;NA;NA;2,55;NA;2,55;2,55;NA;NA;NA;NA;9,86;0,26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,26;2015-12-31;2015-01-01;"FCTY";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-312";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,26;2,36;NA;NA;2,36;NA;NA;NA;2,36;NA;2,36;2,36;NA;NA;NA;NA;9,74;0,24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,24;2014-12-31;2014-01-01;"FCTY";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-311";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,8;6,86;NA;NA;6,86;NA;NA;NA;6,86;NA;6,86;6,86;NA;NA;NA;NA;9,08;0,76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,76;2013-12-31;2013-01-01;"FCTY";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-311";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,05;2,94;NA;NA;2,94;NA;NA;NA;2,94;NA;2,94;2,94;NA;NA;NA;NA;8,79;0,33;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,33;2012-12-31;NA;"FCTY";NA;NA;NA;NA;NA
"2015-12-313";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12,73;8,66;NA;NA;8,66;NA;NA;NA;8,66;NA;8,66;8,66;NA;NA;NA;NA;8,48;1,02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,02;2015-12-31;2015-01-01;"FCCY";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-313";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5,43;4,36;NA;NA;4,36;NA;NA;NA;4,36;NA;4,36;4,36;NA;NA;NA;NA;7,88;0,55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,71;2014-12-31;2014-01-01;"FCCY";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-312";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8,06;5,78;NA;NA;5,78;NA;NA;NA;5,78;NA;5,78;5,78;NA;NA;NA;NA;6,73;0,86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,89;2013-12-31;2013-01-01;"FCCY";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-312";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7,03;5,06;NA;NA;5,06;NA;NA;NA;5,06;NA;5,06;5,06;NA;NA;NA;0;6,18;0,82;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,82;2012-12-31;NA;"FCCY";NA;NA;NA;NA;NA
"2015-12-314";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;88,56;57,49;NA;NA;57,49;NA;NA;NA;57,49;NA;56,92;56,92;NA;NA;NA;NA;26,17;2,17;NA;0,67;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,17;2015-12-31;2015-01-01;"SRCE";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-314";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;84,44;58,07;NA;NA;58,07;NA;NA;NA;58,07;NA;57,34;57,34;NA;NA;NA;NA;24,03;2,39;NA;0,71;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,39;2014-12-31;2014-01-01;"SRCE";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-313";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;83,94;54,96;NA;NA;54,96;NA;NA;NA;54,96;NA;54,24;54,24;NA;NA;NA;NA;26,78;2,03;NA;0,62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,03;2013-12-31;2013-01-01;"SRCE";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-313";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75,68;49,63;NA;NA;49,63;NA;NA;NA;49,63;NA;48,95;48,95;NA;NA;NA;NA;26,71;1,83;NA;0,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,83;2012-12-31;NA;"SRCE";NA;NA;NA;NA;NA
"2015-12-315";3634,37;NA;3634,37;2780,61;853,76;924,98;104,44;73,82;NA;0;-8,57;3918,61;-284,23;NA;NA;26,73;-353,44;-401,27;-26,82;NA;-428,1;NA;NA;NA;-428,1;NA;-428,1;-428,1;NA;NA;NA;NA;492,07;-0,87;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,87;2015-12-31;2015-01-01;"VNET";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-315";2876,45;NA;2876,45;2066,3;810,14;757,71;91,2;53,31;NA;41,58;NA;3032,73;-156,28;NA;NA;25,52;-311,8;-328,48;-20;NA;-348,48;NA;NA;NA;-348,48;NA;-348,48;-348,48;NA;NA;NA;NA;401,34;-0,87;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,8;2014-12-31;2014-01-01;"VNET";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-314";1966,72;NA;1966,72;1449,85;516,87;329,02;51,91;38,28;NA;NA;NA;1924,94;41,77;NA;NA;4,12;-36,68;-47;-1,22;NA;-48,23;NA;NA;NA;-48,23;NA;-48,23;-48,23;NA;NA;NA;0;364,35;-0,13;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,13;2013-12-31;2013-01-01;"VNET";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-314";1524,16;NA;1524,16;1098,48;425,68;259,88;44,53;22,9;NA;NA;NA;1443,22;80,94;NA;NA;9,45;93,81;57,66;-1,33;NA;56,32;NA;NA;NA;56,32;NA;56,32;56,32;NA;NA;NA;NA;356,78;0,16;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,16;2012-12-31;NA;"VNET";NA;NA;NA;NA;NA
"2015-12-316";150,19;NA;150,19;59,26;90,94;117,03;NA;NA;NA;NA;NA;176,29;-26,1;NA;NA;-0,25;-26,73;-26,73;NA;NA;-26,73;NA;NA;NA;-26,73;NA;-26,73;-26,73;NA;NA;NA;0;42,42;-0,63;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,63;2015-12-31;2015-01-01;"TWOU";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-316";110,24;NA;110,24;49,48;60,76;88,64;NA;NA;NA;NA;NA;138,12;-27,88;NA;NA;NA;-29;-29;NA;NA;-29;NA;NA;NA;-29;NA;-29,09;-29,09;NA;NA;NA;0;32,08;-0,91;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,91;2014-12-31;2014-01-01;"TWOU";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-315";83,13;NA;83,13;42,19;40,94;68,94;NA;NA;NA;NA;NA;111,13;-28,01;NA;NA;NA;-27,95;-27,95;NA;NA;-27,95;NA;NA;NA;-27,95;NA;-28,3;-28,3;NA;NA;NA;0;39,13;-0,72;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,72;2013-12-31;2013-01-01;"TWOU";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-315";55,88;NA;55,88;23,23;32,65;55,73;NA;NA;NA;NA;NA;78,96;-23,08;NA;NA;NA;-23,11;-23,11;NA;NA;-23,11;NA;NA;NA;-23,11;NA;-23,45;-23,45;NA;NA;NA;0;39,13;-0,6;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,6;2012-12-31;NA;"TWOU";NA;NA;NA;NA;NA
"2015-12-317";2055,22;NA;2055,22;569,98;1485,24;917,53;NA;NA;NA;NA;NA;1487,51;567,71;NA;NA;71,53;744,1;617,8;0,26;NA;618,06;NA;NA;NA;618,06;NA;618,06;618,06;NA;NA;NA;NA;62,5;9,89;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9,89;2015-12-31;2015-01-01;"JOBS";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-317";1832,45;NA;1832,45;496;1336,45;812,84;NA;NA;NA;NA;NA;1308,84;523,61;NA;NA;9,78;551,95;438,91;NA;NA;438,91;NA;NA;NA;438,91;NA;438,91;438,91;NA;NA;NA;NA;119,38;3,68;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,68;2014-12-31;2014-01-01;"JOBS";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-316";1608,67;NA;1608,67;442,45;1166,21;677,57;NA;NA;NA;0;NA;1120,02;488,65;NA;NA;43,52;600,95;500,64;NA;NA;500,64;NA;NA;NA;500,64;NA;500,64;500,64;NA;NA;NA;NA;60,07;8,33;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8,34;2013-12-31;2013-01-01;"JOBS";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-316";1447,34;NA;1447,34;405,23;1042,11;556,56;NA;NA;NA;0;NA;961,79;485,55;NA;NA;18,93;565,68;470,11;NA;NA;470,11;NA;NA;NA;470,11;NA;470,11;470,11;NA;NA;NA;NA;59,38;7,92;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7,92;2012-12-31;NA;"JOBS";NA;NA;NA;NA;NA
"2015-11-30";10,66;NA;10,66;3,09;7,57;10,7;NA;4,29;NA;6,69;NA;24,77;-14,11;NA;NA;NA;-20,56;-33,07;22,64;9,05;-1,37;NA;NA;NA;18,73;NA;-1,37;18,73;NA;NA;NA;14,47;20;0,66;NA;0,84;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,87;2015-11-30;2014-12-29;"CAFD";2,61364806866953;2,56021551724138;2,44810344827586;2,41807291666667;2,40751677852349
"2014-12-28";9,23;NA;9,23;-2,26;11,49;4,82;NA;2,34;NA;NA;NA;4,9;4,33;NA;NA;NA;-1,19;-1,22;NA;NA;-1,22;NA;NA;NA;-1,22;NA;-1,22;-1,22;NA;NA;NA;0;71;-0,02;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,02;2014-12-28;2013-12-30;"CAFD";3,43486055776892;2,93860557768924;2,72717131474104;2,61848605577689;2,61265873015873
"2013-12-29";24,49;NA;24,49;14,04;10,45;4,27;NA;3,22;NA;NA;NA;21,54;2,95;NA;NA;NA;-3,8;-3,83;NA;NA;-3,83;NA;NA;NA;-3,83;NA;-3,83;-3,83;NA;NA;NA;0;71;-0,05;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,05;2013-12-29;NA;"CAFD";NA;NA;NA;NA;NA
"2016-03-31";209,34;NA;209,34;57,25;152,09;135,12;24,04;NA;NA;0;NA;216,41;-7,07;NA;NA;1,11;-5,97;-5,12;NA;NA;-5,12;NA;NA;NA;-5,12;NA;-5,12;-5,12;NA;NA;NA;NA;88,48;-0,06;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,06;2016-03-31;2015-04-01;"EGHT";2,52888888888889;2,45403162055336;2,41916230366492;2,37330708661417;2,49287878787879
"2015-03-31";162,41;NA;162,41;45,56;116,85;98,85;15,12;NA;NA;-1;NA;158,53;3,88;NA;NA;0,83;4,71;1,93;NA;NA;1,93;NA;NA;NA;1,93;NA;1,93;1,93;NA;NA;NA;0;91,65;0,02;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,02;2015-03-31;2014-04-01;"EGHT";2,93222222222222;2,72638888888889;2,61686507936508;2,61210317460317;2,53115079365079
"2014-03-31";128,6;NA;128,6;37,62;90,98;76,27;11,63;NA;NA;0;NA;125,52;3,08;NA;NA;0,74;3,82;1,6;NA;NA;1,6;NA;NA;NA;2,51;NA;1,6;2,51;NA;NA;NA;NA;81,66;0,02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,02;2014-03-31;2013-04-01;"EGHT";3,69071146245059;3,80511904761905;3,76801587301587;3,4275;2,93762845849802
"2013-03-31";103,79;NA;103,79;31,73;72,06;54,13;8,15;NA;NA;-12,96;NA;81,04;22,74;NA;NA;0,1;22,85;13,45;NA;NA;13,45;NA;NA;NA;13,94;NA;13,45;13,94;NA;NA;NA;NA;74,7;0,18;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,08;2013-03-31;NA;"EGHT";NA;NA;NA;NA;NA
"2015-12-318";517,92;NA;517,92;479,75;38,17;16,9;NA;NA;NA;NA;NA;496,65;21,27;NA;NA;NA;12,39;11,95;0;NA;11,95;NA;NA;NA;11,95;NA;11,95;11,95;NA;NA;NA;0;22,13;0,54;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,54;2015-12-31;2015-01-01;"AVHI";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-318";286,36;NA;286,36;266,2;20,16;15,94;NA;NA;NA;0;NA;282,14;4,22;NA;NA;NA;-1,6;-1,6;-0,33;NA;-1,93;NA;NA;NA;-1,93;NA;-1,93;-1,93;NA;NA;NA;0;21,95;-0,09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,09;2014-12-31;2014-01-01;"AVHI";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-317";143,7;NA;143,7;133,07;10,63;15,97;NA;NA;NA;NA;NA;149,04;-5,34;NA;NA;NA;-8,27;-8,27;-1,21;NA;-9,48;NA;NA;NA;-9,48;NA;-21,37;-21,37;NA;NA;NA;0;15,94;-1,34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,34;2013-12-31;2013-01-01;"AVHI";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-317";107,49;NA;107,49;111,12;-3,63;16,15;NA;NA;NA;60,19;NA;195,43;-87,94;NA;NA;NA;-87,68;-87,68;-2,55;NA;-90,23;NA;NA;NA;-90,23;NA;-90,23;-90,23;NA;NA;NA;0;12,56;-7,19;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,18;2012-12-31;NA;"AVHI";NA;NA;NA;NA;NA
"2015-08-31";2392,22;NA;2392,22;2031,21;361,01;258,94;NA;NA;NA;30,35;NA;2320,51;71,72;NA;NA;-17,31;28,43;27,93;-1,17;NA;26,76;NA;NA;NA;26,63;NA;24,32;24,19;NA;NA;NA;NA;29,48;0,83;NA;0,82;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,84;2015-08-31;2014-09-01;"SHLM";2,65956349206349;2,60821428571429;2,56325396825397;2,48956349206349;2,42287735849057
"2014-08-31";2447;NA;2447;2116,99;330,01;242,49;NA;NA;NA;5,2;NA;2364,68;82,32;NA;NA;0,43;72,33;53,79;-0,8;NA;52,99;NA;NA;NA;56,19;NA;52,99;56,19;NA;NA;NA;NA;29,36;1,8;NA;0,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,09;2014-08-31;2013-09-01;"SHLM";3,79139442231076;3,55115537848606;3,14808764940239;2,73928571428571;2,65956349206349
"2013-08-31";2133,4;NA;2133,4;1856,17;277,23;201,43;NA;NA;NA;12,71;NA;2070,3;63,1;NA;NA;0,22;53,73;34;-1,23;NA;32,77;NA;NA;NA;26,1;NA;32,77;26,1;NA;NA;NA;NA;29,34;1,12;NA;0,78;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,35;2013-08-31;2012-09-01;"SHLM";2,92096385542169;3,18553784860558;3,55334661354582;3,78418326693227;3,79139442231076
"2012-08-31";2081,27;NA;2081,27;1805,93;275,34;189,6;NA;NA;NA;12,34;NA;2007,87;73,4;NA;NA;1,34;66,83;52,91;-1,16;NA;51,75;NA;NA;NA;50,89;NA;51,75;50,89;NA;NA;NA;NA;29,55;1,75;NA;0,72;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,14;2012-08-31;NA;"SHLM";NA;NA;NA;NA;NA
"2015-12-319";358,63;NA;358,63;249,95;108,68;36,51;NA;0,93;NA;-0,06;NA;287,33;71,3;NA;NA;-0,12;71,34;45,73;NA;NA;45,73;NA;NA;NA;45,73;NA;45,73;45,73;NA;NA;NA;NA;54,48;0,84;NA;0,22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,84;2015-12-31;2015-01-01;"AAON";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-319";356,32;NA;356,32;248,06;108,26;40,56;NA;NA;NA;-0,3;NA;288,32;68,01;NA;NA;-0,04;68,25;44,16;NA;NA;44,16;NA;NA;NA;44,16;NA;44,16;44,16;NA;NA;NA;NA;55,37;0,8;NA;0,18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,79;2014-12-31;2014-01-01;"AAON";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-318";321,14;NA;321,14;231,35;89,79;33,99;NA;NA;NA;-0,02;NA;265,31;55,83;NA;NA;0,25;56,29;37,55;NA;NA;37,55;NA;NA;NA;37,55;NA;37,55;37,55;NA;NA;NA;0;55,59;0,68;NA;0,13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,68;2013-12-31;2013-01-01;"AAON";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-318";303,11;NA;303,11;232,62;70,5;26,26;NA;NA;NA;0;NA;258,88;44,23;NA;NA;0,04;44,32;27,45;NA;NA;27,45;NA;NA;NA;27,45;NA;27,45;27,45;NA;NA;NA;0;55,57;0,49;NA;0,11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,49;2012-12-31;NA;"AAON";NA;NA;NA;NA;NA
"2016-03-311";218,9;NA;218,9;95,65;123,25;59,21;17,69;NA;NA;NA;NA;172,55;46,35;NA;NA;NA;47,15;31,07;NA;NA;31,07;NA;NA;NA;31,63;NA;31,07;31,63;NA;NA;NA;0;22,88;1,36;NA;0,44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,36;2016-03-31;2015-04-01;"ABAX";2,52888888888889;2,45403162055336;2,41916230366492;2,37330708661417;2,49287878787879
