"";"Revenue";"Other Revenue, Total";"Total Revenue";"Cost of Revenue, Total";"Gross Profit";"Selling/General/Admin. Expenses, Total";"Research & Development";"Depreciation/Amortization";"Interest Expense(Income) - Net Operating";"Unusual Expense (Income)";"Other Operating Expenses, Total";"Total Operating Expense";"Operating Income";"Interest Income(Expense), Net Non-Operating";"Gain (Loss) on Sale of Assets";"Other, Net";"Income Before Tax";"Income After Tax";"Minority Interest";"Equity In Affiliates";"Net Income Before Extra. Items";"Accounting Change";"Discontinued Operations";"Extraordinary Item";"Net Income";"Preferred Dividends";"Income Available to Common Excl. Extra Items";"Income Available to Common Incl. Extra Items";"Basic Weighted Average Shares";"Basic EPS Excluding Extraordinary Items";"Basic EPS Including Extraordinary Items";"Dilution Adjustment";"Diluted Weighted Average Shares";"Diluted EPS Excluding Extraordinary Items";"Diluted EPS Including Extraordinary Items";"Dividends per Share - Common Stock Primary Issue";"Gross Dividends - Common Stock";"Net Income after Stock Based Comp. Expense";"Basic EPS after Stock Based Comp. Expense";"Diluted EPS after Stock Based Comp. Expense";"Depreciation, Supplemental";"Total Special Items";"Normalized Income Before Taxes";"Effect of Special Items on Income Taxes";"Income Taxes Ex. Impact of Special Items";"Normalized Income After Taxes";"Normalized Income Avail to Common";"Basic Normalized EPS";"Diluted Normalized EPS";"EndPeriod";"StartPeriod";"Company";"YearAvgPrice";"YearAvgPrice1QAfterStartPeriod";"YearAvgPrice2QAfterStartPeriod";"YearAvgPrice3QAfterStartPeriod";"YearAvgPrice4QAfterStartPeriod"
"2013-12-311714";8,79;NA;8,79;9,12;-0,32;18,18;1,56;3,79;NA;0;NA;32,63;-23,84;NA;NA;-0,1;-25,26;-25,26;NA;NA;-25,26;NA;NA;NA;-10,31;NA;-30,01;-15,06;NA;NA;NA;NA;4,65;-6,45;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-6,45;2013-12-31;2013-01-01;"VLTC";3,31936507936508;3,69553359683794;3,80575396825397;3,75960317460317;3,42446640316206
"2012-12-311648";6,57;NA;6,57;4,19;2,37;22,28;3,12;4,07;NA;5,02;NA;38,69;-32,12;NA;NA;-0,93;-34,97;-34,69;NA;NA;-34,69;NA;NA;NA;-34,24;NA;-35,74;-35,29;NA;NA;NA;0;4,61;-7,76;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-7,05;2012-12-31;NA;"VLTC";NA;NA;NA;NA;NA
"2016-02-299";680,75;NA;680,75;485,06;195,69;159,9;37,49;NA;NA;5,19;NA;687,64;-6,89;NA;NA;-0,29;-7,8;-6,06;3,38;NA;-2,68;NA;NA;NA;-2,68;NA;-2,68;-2,68;NA;NA;NA;NA;24,17;-0,11;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,03;2016-02-29;2015-03-01;"VOXX";2,56325396825397;2,49103174603175;2,42287735849057;2,40751677852349;2,42386363636364
"2015-02-2813";757,5;NA;757,5;533,63;223,87;168,99;37,16;NA;NA;10,44;NA;750,21;7,29;NA;NA;0,52;0,7;-0,94;NA;NA;-0,94;NA;NA;NA;-0,94;NA;-0,94;-0,94;NA;NA;NA;NA;24,33;-0,04;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,24;2015-02-28;2014-03-01;"VOXX";3,14808764940239;2,73848605577689;2,6600796812749;2,60832669322709;2,56505976095618
"2014-02-288";809,71;NA;809,71;579,46;230,25;174,58;34,16;NA;NA;54,44;NA;842,64;-32,93;NA;NA;7,99;-26,66;-26,6;NA;NA;-26,6;NA;NA;NA;-26,6;NA;-26,6;-26,6;NA;NA;NA;NA;24,11;-1,1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,36;2014-02-28;2013-03-01;"VOXX";3,55285714285714;3,78265873015873;3,78757936507936;3,55115537848606;3,1556746031746
"2013-02-288";835,58;NA;835,58;598,75;236,82;166,63;26,97;NA;NA;3,19;NA;795,54;40,03;NA;NA;0,57;35,66;22,49;NA;NA;22,49;NA;NA;NA;22,49;NA;22,49;22,49;NA;NA;NA;NA;23,62;0,95;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,04;2013-02-28;NA;"VOXX";NA;NA;NA;NA;NA
"2015-12-311724";17,33;NA;17,33;NA;NA;9,91;27,68;NA;NA;NA;NA;37,59;-20,25;NA;NA;-9,75;-29,67;-29,67;NA;NA;-29,67;NA;NA;NA;-29,67;NA;-38,29;-38,29;NA;NA;NA;NA;25,72;-1,49;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1,49;2015-12-31;2015-01-01;"VYGR";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
"2014-12-311728";0;NA;0;NA;NA;5,47;8,9;NA;NA;NA;NA;14,37;-14,37;NA;NA;-1,95;-16,32;-16,32;NA;NA;-16,32;NA;NA;NA;-16,32;NA;-17,68;-17,68;NA;NA;NA;0;25,72;-0,69;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,69;2014-12-31;2014-01-01;"VYGR";3,42297619047619;2,9259126984127;2,72484126984127;2,61353174603175;2,61237154150198
"2013-12-311715";0;NA;0;NA;NA;1,45;2,32;NA;NA;NA;NA;3,77;-3,77;NA;NA;0;-3,83;-3,83;NA;NA;-3,83;NA;NA;NA;-3,83;NA;-3,83;-3,83;NA;NA;NA;0;25,72;-0,15;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0,15;2013-12-31;NA;"VYGR";NA;NA;NA;NA;NA
"2015-12-311725";533,98;NA;533,98;480,15;53,83;3,29;NA;NA;NA;NA;NA;483,44;50,54;NA;NA;NA;40,99;24,92;NA;NA;24,92;NA;NA;NA;24,92;NA;24,92;24,92;NA;NA;NA;NA;5,39;4,62;NA;0,43;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,62;2015-12-31;2015-01-01;"VSEC";2,61218253968254;2,52784860557769;2,4525;2,42068783068783;2,37330708661417
